Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total acceleration (ft/s²),Mass (oz),Propellant mass (oz),Thrust (N),Drag force (N),Drag coefficient (​)
44.673,3297.9,-62.603,0.057079,0.057079,740.59,0,0,205.89,NaN
45.173,3266.6,-62.575,0.056949,0.056949,740.59,0,0,205.89,NaN
45.673,3235.3,-62.546,0.057653,0.057653,740.59,0,0,205.9,NaN
46.173,3204,-62.516,0.058919,0.058919,740.59,0,0,205.9,NaN
46.673,3172.8,-62.487,0.059462,0.059462,740.59,0,0,205.91,NaN
47.173,3141.5,-62.457,0.059653,0.059653,740.59,0,0,205.91,NaN
47.673,3110.3,-62.427,0.059673,0.059673,740.59,0,0,205.91,NaN
48.173,3079.1,-62.397,0.059611,0.059611,740.59,0,0,205.91,NaN
48.673,3047.9,-62.368,0.059508,0.059508,740.59,0,0,205.91,NaN
49.173,3016.7,-62.338,0.059387,0.059387,740.59,0,0,205.91,NaN
49.673,2985.6,-62.308,0.059256,0.059256,740.59,0,0,205.91,NaN
50.173,2954.4,-62.279,0.059121,0.059121,740.59,0,0,205.91,NaN
50.673,2923.3,-62.249,0.058985,0.058985,740.59,0,0,205.91,NaN
51.173,2892.2,-62.22,0.058848,0.058848,740.59,0,0,205.91,NaN
51.673,2861.1,-62.19,0.058711,0.058711,740.59,0,0,205.91,NaN
52.173,2830,-62.161,0.058574,0.058574,740.59,0,0,205.91,NaN
52.673,2798.9,-62.132,0.058438,0.058438,740.59,0,0,205.91,NaN
53.173,2767.9,-62.103,0.058302,0.058302,740.59,0,0,205.91,NaN
53.673,2736.8,-62.074,0.058167,0.058167,740.59,0,0,205.91,NaN
54.173,2705.8,-62.045,0.058032,0.058032,740.59,0,0,205.91,NaN
54.673,2674.8,-62.016,0.057898,0.057898,740.59,0,0,205.91,NaN
55.173,2643.8,-61.987,0.057764,0.057764,740.59,0,0,205.91,NaN
55.673,2612.8,-61.958,0.057631,0.057631,740.59,0,0,205.91,NaN
56.173,2581.8,-61.929,0.057498,0.057498,740.59,0,0,205.91,NaN
56.673,2550.9,-61.901,0.057366,0.057366,740.59,0,0,205.91,NaN
57.173,2519.9,-61.872,0.057235,0.057235,740.59,0,0,205.91,NaN
57.673,2489,-61.843,0.057103,0.057103,740.59,0,0,205.91,NaN
58.173,2458.1,-61.815,0.056973,0.056973,740.59,0,0,205.91,NaN
58.673,2427.2,-61.786,0.056843,0.056843,740.59,0,0,205.91,NaN
59.173,2396.3,-61.758,0.056713,0.056713,740.59,0,0,205.91,NaN
59.673,2365.4,-61.73,0.056584,0.056584,740.59,0,0,205.91,NaN
60.173,2334.6,-61.702,0.056456,0.056456,740.59,0,0,205.91,NaN
60.673,2303.7,-61.673,0.056327,0.056327,740.59,0,0,205.91,NaN
61.173,2272.9,-61.645,0.0562,0.0562,740.59,0,0,205.91,NaN
61.673,2242.1,-61.617,0.056073,0.056073,740.59,0,0,205.91,NaN
62.173,2211.3,-61.589,0.055946,0.055946,740.59,0,0,205.91,NaN
62.673,2180.5,-61.561,0.05582,0.05582,740.59,0,0,205.91,NaN
63.173,2149.7,-61.534,0.055694,0.055694,740.59,0,0,205.9,NaN
63.673,2118.9,-61.506,0.055569,0.055569,740.59,0,0,205.9,NaN
64.173,2088.2,-61.478,0.055445,0.055445,740.59,0,0,205.9,NaN
64.673,2057.5,-61.45,0.05532,0.05532,740.59,0,0,205.9,NaN
65.173,2026.7,-61.423,0.055197,0.055197,740.59,0,0,205.9,NaN
65.673,1996,-61.395,0.055073,0.055073,740.59,0,0,205.9,NaN
66.173,1965.4,-61.368,0.054951,0.054951,740.59,0,0,205.9,NaN
66.673,1934.7,-61.34,0.054828,0.054828,740.59,0,0,205.9,NaN
67.173,1904,-61.313,0.054706,0.054706,740.59,0,0,205.9,NaN
67.673,1873.4,-61.286,0.054585,0.054585,740.59,0,0,205.9,NaN
68.173,1842.7,-61.258,0.054464,0.054464,740.59,0,0,205.9,NaN
68.673,1812.1,-61.231,0.054343,0.054344,740.59,0,0,205.9,NaN
69.173,1781.5,-61.204,0.054223,0.054223,740.59,0,0,205.9,NaN
69.673,1750.9,-61.177,0.054104,0.054104,740.59,0,0,205.9,NaN
70.173,1720.3,-61.15,0.053985,0.053985,740.59,0,0,205.9,NaN
70.673,1689.7,-61.123,0.053866,0.053866,740.59,0,0,205.9,NaN
71.173,1659.2,-61.096,0.053748,0.053748,740.59,0,0,205.9,NaN
71.673,1628.7,-61.07,0.05363,0.05363,740.59,0,0,205.9,NaN
72.173,1598.1,-61.042,0.054184,0.054184,740.59,0,0,205.91,NaN
72.673,1567.6,-61.015,0.055453,0.055453,740.59,0,0,205.91,NaN
73.173,1537.1,-60.987,0.055986,0.055986,740.59,0,0,205.92,NaN
73.673,1506.6,-60.959,0.056171,0.056171,740.59,0,0,205.92,NaN
74.173,1476.2,-60.931,0.05619,0.05619,740.59,0,0,205.92,NaN
74.673,1445.7,-60.902,0.056132,0.056132,740.59,0,0,205.92,NaN
75.173,1415.2,-60.874,0.056038,0.056038,740.59,0,0,205.92,NaN
75.673,1384.8,-60.846,0.055926,0.055926,740.59,0,0,205.92,NaN
76.173,1354.4,-60.819,0.055807,0.055807,740.59,0,0,205.92,NaN
76.673,1324,-60.791,0.055684,0.055684,740.59,0,0,205.92,NaN
77.173,1293.6,-60.763,0.055559,0.055559,740.59,0,0,205.92,NaN
77.673,1263.2,-60.735,0.055435,0.055435,740.59,0,0,205.92,NaN
78.173,1232.9,-60.708,0.05531,0.05531,740.59,0,0,205.92,NaN
78.673,1202.5,-60.68,0.055186,0.055186,740.59,0,0,205.92,NaN
79.173,1172.2,-60.652,0.055062,0.055062,740.59,0,0,205.92,NaN
79.673,1141.9,-60.625,0.054939,0.054939,740.59,0,0,205.92,NaN
80.173,1111.6,-60.598,0.054815,0.054815,740.59,0,0,205.92,NaN
80.673,1081.3,-60.57,0.054693,0.054693,740.59,0,0,205.92,NaN
81.173,1051,-60.543,0.054571,0.054571,740.59,0,0,205.92,NaN
81.673,1020.7,-60.516,0.054449,0.054449,740.59,0,0,205.92,NaN
82.173,990.49,-60.489,0.054328,0.054328,740.59,0,0,205.92,NaN
82.673,960.25,-60.461,0.054207,0.054207,740.59,0,0,205.92,NaN
83.173,930.02,-60.434,0.054087,0.054087,740.59,0,0,205.92,NaN
83.673,899.81,-60.407,0.053967,0.053967,740.59,0,0,205.92,NaN
84.173,869.62,-60.38,0.053848,0.053848,740.59,0,0,205.92,NaN
84.673,839.43,-60.354,0.053729,0.053729,740.59,0,0,205.92,NaN
85.173,809.26,-60.327,0.05361,0.05361,740.59,0,0,205.92,NaN
85.673,779.11,-60.3,0.053492,0.053492,740.59,0,0,205.92,NaN
86.173,748.96,-60.273,0.053375,0.053375,740.59,0,0,205.92,NaN
86.673,718.83,-60.247,0.053257,0.053258,740.59,0,0,205.92,NaN
87.173,688.72,-60.22,0.053141,0.053141,740.59,0,0,205.92,NaN
87.673,658.61,-60.194,0.053024,0.053024,740.59,0,0,205.92,NaN
87.677,658.42,-58.553,507.51,507.51,740.59,0,0,3453.4,NaN
87.68,658.22,-56.913,478.5,478.5,740.59,0,0,3267.7,NaN
87.684,658.02,-55.272,450.29,450.29,740.59,0,0,3087.2,NaN
87.688,657.81,-53.632,422.89,422.89,740.59,0,0,2911.8,NaN
87.692,657.59,-51.992,396.28,396.28,740.59,0,0,2741.6,NaN
87.696,657.36,-50.351,370.48,370.48,740.59,0,0,2576.4,NaN
87.701,657.13,-48.711,345.48,345.48,740.59,0,0,2416.4,NaN
87.706,656.88,-47.07,321.28,321.28,740.59,0,0,2261.6,NaN
87.712,656.63,-45.43,297.88,297.88,740.59,0,0,2111.8,NaN
87.718,656.36,-43.789,275.28,275.28,740.59,0,0,1967.2,NaN
87.724,656.08,-42.149,253.48,253.48,740.59,0,0,1827.7,NaN
87.731,655.79,-40.509,232.49,232.49,740.59,0,0,1693.4,NaN
87.739,655.49,-38.868,212.29,212.29,740.59,0,0,1564.1,NaN
87.747,655.16,-37.228,192.9,192.9,740.59,0,0,1440,NaN
87.757,654.82,-35.587,174.31,174.31,740.59,0,0,1321,NaN
87.767,654.45,-33.947,156.52,156.52,740.59,0,0,1207.2,NaN
87.779,654.06,-32.307,139.53,139.53,740.59,0,0,1098.5,NaN
87.792,653.65,-30.666,123.34,123.34,740.59,0,0,994.9,NaN
87.807,653.19,-29.026,107.96,107.96,740.59,0,0,896.44,NaN
87.825,652.7,-27.385,93.372,93.372,740.59,0,0,803.11,NaN
87.846,652.15,-25.745,79.59,79.59,740.59,0,0,714.91,NaN
87.87,651.54,-24.104,66.608,66.608,740.59,0,0,631.83,NaN
87.9,650.83,-22.464,54.429,54.429,740.59,0,0,553.89,NaN
87.938,650.01,-20.824,43.05,43.05,740.59,0,0,481.08,NaN
87.989,649,-19.183,32.474,32.474,740.59,0,0,413.39,NaN
88.061,647.67,-17.543,22.698,22.698,740.59,0,0,350.83,NaN
88.181,645.67,-15.902,13.725,13.725,740.59,0,0,293.41,NaN
88.476,641.22,-14.262,5.5532,5.5532,740.59,0,0,241.12,NaN
88.976,633.86,-15.17,-1.8153,1.8153,740.59,0,0,193.96,NaN
89.476,626.55,-14.083,2.1727,2.1727,740.59,0,0,219.48,NaN
89.976,619.19,-15.362,-2.5574,2.5574,740.59,0,0,189.21,NaN
90.476,611.89,-13.83,3.0631,3.0631,740.59,0,0,225.18,NaN
90.932,605.21,-15.471,-3.5973,3.5973,740.59,0,0,182.56,NaN
91.391,598.49,-13.83,3.5782,3.5782,740.59,0,0,228.48,NaN
91.848,591.79,-15.471,-3.5862,3.5862,740.59,0,0,182.63,NaN
92.305,585.1,-13.83,3.5921,3.5921,740.59,0,0,228.57,NaN
92.764,578.38,-15.471,-3.5751,3.5751,740.59,0,0,182.7,NaN
93.219,571.71,-13.83,3.606,3.606,740.59,0,0,228.66,NaN
93.679,564.97,-15.471,-3.564,3.564,740.59,0,0,182.77,NaN
94.132,558.33,-13.83,3.6199,3.6199,740.59,0,0,228.75,NaN
94.594,551.56,-15.471,-3.553,3.553,740.59,0,0,182.84,NaN
95.045,544.95,-13.83,3.6338,3.6338,740.59,0,0,228.83,NaN
95.508,538.16,-15.471,-3.5419,3.5419,740.59,0,0,182.91,NaN
95.958,531.58,-13.83,3.6477,3.6477,740.59,0,0,228.92,NaN
96.423,524.77,-15.471,-3.5308,3.5308,740.59,0,0,182.99,NaN
96.871,518.21,-13.83,3.6616,3.6616,740.59,0,0,229.01,NaN
97.337,511.38,-15.471,-3.5197,3.5197,740.59,0,0,183.06,NaN
97.783,504.84,-13.83,3.6755,3.6755,740.59,0,0,229.1,NaN
98.25,497.99,-15.471,-3.5087,3.5087,740.59,0,0,183.13,NaN
98.695,491.48,-13.83,3.6893,3.6893,740.59,0,0,229.19,NaN
99.164,484.6,-15.471,-3.4976,3.4976,740.59,0,0,183.2,NaN
99.607,478.11,-13.83,3.7032,3.7032,740.59,0,0,229.28,NaN
100.08,471.22,-15.471,-3.4866,3.4866,740.59,0,0,183.27,NaN
100.52,464.76,-13.83,3.7171,3.7171,740.59,0,0,229.37,NaN
100.99,457.84,-15.471,-3.4755,3.4755,740.59,0,0,183.34,NaN
101.43,451.4,-13.83,3.7309,3.7309,740.59,0,0,229.46,NaN
101.9,444.46,-15.471,-3.4645,3.4645,740.59,0,0,183.41,NaN
102.34,438.04,-13.83,3.7448,3.7448,740.59,0,0,229.55,NaN
102.82,431.08,-15.471,-3.4534,3.4534,740.59,0,0,183.48,NaN
103.25,424.69,-13.83,3.7586,3.7586,740.59,0,0,229.64,NaN
103.73,417.71,-15.471,-3.4424,3.4424,740.59,0,0,183.55,NaN
104.16,411.34,-13.83,3.7725,3.7725,740.59,0,0,229.72,NaN
104.64,404.33,-15.471,-3.4314,3.4314,740.59,0,0,183.62,NaN
105.08,397.99,-13.83,3.7863,3.7863,740.59,0,0,229.81,NaN
105.56,390.96,-15.471,-3.4203,3.4203,740.59,0,0,183.7,NaN
105.99,384.64,-13.83,3.8001,3.8001,740.59,0,0,229.9,NaN
106.47,377.59,-15.471,-3.4093,3.4093,740.59,0,0,183.77,NaN
106.9,371.29,-13.83,3.814,3.814,740.59,0,0,229.99,NaN
107.38,364.21,-15.471,-3.3983,3.3983,740.59,0,0,183.84,NaN
107.81,357.93,-13.83,3.8278,3.8278,740.59,0,0,230.08,NaN
108.29,350.84,-15.471,-3.3873,3.3873,740.59,0,0,183.91,NaN
108.72,344.58,-13.83,3.8416,3.8416,740.59,0,0,230.17,NaN
109.21,337.47,-15.471,-3.3762,3.3762,740.59,0,0,183.98,NaN
109.63,331.23,-13.83,3.8555,3.8555,740.59,0,0,230.26,NaN
110.12,324.09,-15.471,-3.3652,3.3652,740.59,0,0,184.05,NaN
110.54,317.88,-13.83,3.8693,3.8693,740.59,0,0,230.35,NaN
111.03,310.71,-15.471,-3.3542,3.3542,740.59,0,0,184.12,NaN
111.46,304.52,-13.83,3.8831,3.8831,740.59,0,0,230.43,NaN
111.95,297.34,-15.471,-3.3432,3.3432,740.59,0,0,184.19,NaN
112.37,291.17,-13.83,3.8969,3.8969,740.59,0,0,230.52,NaN
112.86,283.96,-15.471,-3.3322,3.3322,740.59,0,0,184.26,NaN
113.28,277.81,-13.83,3.9107,3.9107,740.59,0,0,230.61,NaN
113.77,270.57,-15.471,-3.3211,3.3211,740.59,0,0,184.33,NaN
114.19,264.45,-13.83,3.9246,3.9246,740.59,0,0,230.7,NaN
114.69,257.19,-15.471,-3.3101,3.3101,740.59,0,0,184.4,NaN
115.1,251.09,-13.83,3.9384,3.9384,740.59,0,0,230.79,NaN
115.6,243.8,-15.471,-3.2991,3.2991,740.59,0,0,184.47,NaN
116.02,237.72,-13.83,3.9522,3.9522,740.59,0,0,230.88,NaN
116.51,230.41,-15.471,-3.2881,3.2881,740.59,0,0,184.54,NaN
116.93,224.35,-13.83,3.966,3.966,740.59,0,0,230.97,NaN
117.43,217.03,-15.469,-3.2771,3.2771,740.59,0,0,184.62,NaN
117.84,210.98,-13.829,3.971,3.971,740.59,0,0,231,NaN
118.34,203.65,-15.465,-3.2739,3.2739,740.59,0,0,184.64,NaN
118.75,197.6,-13.825,3.9687,3.9687,740.59,0,0,230.98,NaN
119.25,190.28,-15.464,-3.2773,3.2773,740.59,0,0,184.61,NaN
119.67,184.23,-13.823,3.9743,3.9743,740.59,0,0,231.02,NaN
120.17,176.91,-15.46,-3.2736,3.2736,740.59,0,0,184.64,NaN
120.58,170.86,-13.82,3.9713,3.9713,740.59,0,0,231,NaN
121.08,163.55,-15.459,-3.2777,3.2777,740.59,0,0,184.61,NaN
121.49,157.51,-13.818,3.9776,3.9776,740.59,0,0,231.04,NaN
121.99,150.19,-15.455,-3.2733,3.2733,740.59,0,0,184.64,NaN
122.41,144.15,-13.814,3.9738,3.9738,740.59,0,0,231.02,NaN
122.91,136.83,-15.453,-3.2781,3.2781,740.59,0,0,184.61,NaN
123.32,130.8,-13.813,3.981,3.981,740.59,0,0,231.06,NaN
123.82,123.49,-15.449,-3.2729,3.2729,740.59,0,0,184.64,NaN
124.23,117.45,-13.809,3.9762,3.9762,740.59,0,0,231.03,NaN
124.73,110.14,-15.448,-3.2785,3.2785,740.59,0,0,184.61,NaN
125.14,104.11,-13.808,3.9845,3.9845,740.59,0,0,231.09,NaN
125.64,96.801,-15.444,-3.2724,3.2724,740.59,0,0,184.65,NaN
126.05,90.771,-13.804,3.9785,3.9785,740.59,0,0,231.05,NaN
126.55,83.46,-15.443,-3.2791,3.2791,740.59,0,0,184.61,NaN
126.97,77.445,-13.803,3.9881,3.9881,740.59,0,0,231.11,NaN
127.47,70.134,-15.439,-3.2719,3.2719,740.59,0,0,184.65,NaN
127.88,64.11,-13.798,3.9807,3.9807,740.59,0,0,231.06,NaN
128.38,56.801,-15.438,-3.2797,3.2797,740.59,0,0,184.6,NaN
128.79,50.794,-13.798,3.9918,3.9918,740.59,0,0,231.14,NaN
129.29,43.486,-15.433,-3.2712,3.2712,740.59,0,0,184.66,NaN
129.7,37.467,-13.793,3.9828,3.9828,740.59,0,0,231.08,NaN
130.2,30.161,-15.433,-3.2805,3.2805,740.59,0,0,184.6,NaN
130.61,24.162,-13.793,3.9956,3.9956,740.59,0,0,231.16,NaN
131.11,16.856,-15.428,-3.2703,3.2703,740.59,0,0,184.66,NaN
131.52,10.843,-13.787,3.9847,3.9847,740.59,0,0,231.09,NaN
132.02,3.5403,-15.428,-3.2814,3.2814,740.59,0,0,184.59,NaN
132.43,-2.4529,-13.787,3.9983,3.9983,740.59,0,0,231.18,NaN
